iter	RMSE
0	11.14821337
1	10.61554734
2	10.12277917
3	9.70256587
4	9.342740106
5	9.02497666
6	8.746365243
7	8.504968165
8	8.294821424
9	8.111242887
10	7.947261671
1111	7.826477481212	7.70266532113	7.59530829514	7.489978886
15	7.408489261
16	7.337342253
17	7.275124794
18	7.219325532
19	7.170439763
20	7.128557757
21	7.091365215
22	7.056988285
23	7.028466442
24	7.006354002
25	6.982121766
26	6.959466552
27	6.939550156
28	6.922332114
29	6.906353557
30	6.894048953
31	6.880410595
32	6.868996254
33	6.858823267
34	6.847249767
35	6.837269466
36	6.827982563
37	6.820329751
38	6.811430754
39	6.804381231
40	6.797130246
41	6.789108218
42	6.784623235
43	6.778555643
44	6.77349645	645	6.76562946	646	6.75913647	647	6.75562448	648	6.74951549	649	6.74264050	650	6.73812051	651	6.73338052	52	6.72916653	6.749869077
54	6.746513858
55	6.740893983
56	6.735520102
57	6.732117419
58	6.727485013
59	6.724738687
60	6.721131903
61	6.715945769
62	6.710943184
63	6.708211368
64	6.70506039
65	6.702625931
66	6.700156851
67	6.69631695
68	6.692755947
69	6.689687029
70	6.686726467
71	6.683300733
72	6.67934858
73	6.676349301
74	6.674298847
75	6.672190242
76	6.669878543
77	6.66671835
78	6.664638065
79	6.662427807
80	6.660665707
81	6.658382713
82	6.655966684
83	6.653719782
84	6.650416191
85	6.648828434
86	6.647186257
87	6.64451877
88	6.642707008
89	6.640867391
90	6.637225984
91	6.635030891
92	6.632246687
93	6.62908922
94	6.62703643
95	6.625485933
96	6.623686565
97	6.621922012
98	6.620354089
99	6.61824674
100	6.615905217
101	6.614050729
102	6.610923751
103	6.608914893
104	6.607230714
105	6.605562249
106	6.604425365
107	6.601809126
108	6.600231449
109	6.597701551
110	6.596720323
111	6.59466195
112	6.592404784
113	6.590569518
114	6.587321085
115	6.585430073
116	6.584414871
117	6.583334094
118	6.582023005
119	6.580360914
120	6.578826236
121	6.577497874
122	6.575626516
123	6.57383269
124	6.571875846
125	6.570046782
126	6.568755492
127	6.567408749
128	6.565837147
129	6.564528627
130	6.561960938
131	6.560510729
132	6.559284696
133	6.557480805
134	6.555215075
135	6.553487872
136	6.551700196
137	6.55103889
138	6.549184407
139	6.547216678
140	6.545590951
141	6.543792661
142	6.542526595
143	6.541244582
144	6.540170487
145	6.539042412
146	6.537895888
147	6.536427867
148	6.534895961
149	6.533866898
150	6.532762474
151	6.531343153
152	6.529503763
153	6.528073084
