iter	Passed	Remaining
0	188	188252
1	240	12006622	289	9618033	351	8756344	405	8078455	477	7907766	550	7802577	629	7811788	706	7778699	790	78299110	887	79773111	961	79145112	1040	79002113	1104	77796114	1203	79022115	1285	79078116	1365	78948117	1437	78438118	1517	78361119	1599	78373220	1681	78370221	1795	79813222	1921	81642223	2040	82988224	2155	84065
25	2303	86276
26	2472	89098
27	2615	90792
28	2745	91922
29	2869	92793
30	2982	93235
31	3137	94895
32	3263	95618
33	3360	95471
34	3468	95635
35	3597	96341
36	3706	96468
37	3839	97201
38	3966	97727
39	4058	97409
40	4180	97780
41	4285	97740
42	4385	97591
43	4481	97378
44	4573	97054445	4662	96692446	4756	96445447	4860	96394448	5000	97049449	5122	97323550	5272	98100551	5401	98482552	5495	9818853	5578	97721
54	5682	97643
55	5796	97711
56	5914	97847
57	6024	97838
58	6146	98024
59	6264	98147
60	6384	98272
61	6498	98322
62	6605	98251
63	6720	98288
64	6833	98293
65	6910	97791
66	6975	97134
67	7041	96510
68	7092	95691
69	7146	94949
70	7211	94355
71	7268	93679
72	7325	93028
73	7384	92408
74	7429	91632
75	7469	90811
76	7516	90096
77	7562	89398
78	7604	88651
79	7645	87922
80	7686	87204
81	7726	86496
82	7761	85749
83	7804	85101
84	7850	84513
85	7893	83890
86	7935	83279
87	7974	82645
88	8019	82082
89	8061	81515
90	8104	80954
91	8143	80371
92	8187	79853
93	8233	79358
94	8274	78822
95	8312	78278
96	8360	77831
97	8407	77385
98	8458	76984
99	8511	76600
100	8564	76232
101	8612	75825
102	8665	75467
103	8726	75178
104	8784	74878
105	8845	74605
106	8908	74344
107	8962	74020
108	9013	73680
109	9065	73348
110	9119	73038
111	9187	72846
112	9242	72549
113	9298	72270
114	9340	71882
115	9380	71483
116	9432	71183
117	9475	70827
118	9529	70552
119	9576	70224
120	9618	69871
121	9659	69514
122	9700	69163
123	9746	68850
124	9788	68518
125	9835	68227
126	9882	67929
127	9925	67615
128	9976	67363
129	10021	67065
130	10064	66763
131	10117	66530
132	10173	66321
133	10231	66124
134	10284	65899
135	10341	65696
136	10397	65493
137	10449	65272
138	10503	65059
139	10551	64814
140	10609	64634
141	10682	64548
142	10748	64413
143	10805	64235
144	10853	64000
145	10906	63794
146	10952	63553
147	11011	63393
148	11080	63287
149	11126	63051
150	11165	62776
151	11209	62535
152	11254	62302
153	11302	62091
154	11345	61852
155	11393	61644
156	11445	61454
157	11492	61245
158	11535	61013
159	11581	60800
160	11628	60598
161	11679	60414
162	11730	60235
163	11773	60017
164	11816	59797
165	11863	59602
166	11918	59447
167	11970	59283
168	12012	59069
169	12053	58850
170	12096	58643
171	12164	58561
172	12241	58518
173	12325	58513
174	12393	58425
175	12446	58272
176	12500	58123
177	12553	57972
178	12607	57827
179	12666	57703
180	12719	57552
181	12779	57436
182	12831	57285
183	12873	57091
184	12911	56882
185	13015	56961
186	13084	56886
187	13129	56706
188	13171	56518
189	13215	56338
190	13253	56137
191	13297	55962
192	13345	55804
193	13391	55637
194	13435	55463
195	13482	55305
196	13523	55125
197	13562	54934
198	13609	54780
199	13652	54608
200	13695	54441
201	13738	54273
202	13781	54106
203	13829	53963
204	13878	53819
205	13931	53697
206	13993	53609
207	14051	53504
208	14099	53361
209	14155	53250
210	14200	53099
211	14239	52927
212	14283	52773
213	14329	52631
214	14379	52503
215	14430	52377
216	14475	52230
217	14522	52093
218	14568	51954
219	14614	51816
220	14659	51674
221	14701	51519
222	14746	51382
223	14793	51248
224	14838	51110
225	14886	50984
226	14936	50864
227	14989	50753
228	15049	50667
229	15099	50550
230	15157	50460
231	15217	50374
232	15270	50266
233	15330	50185
234	15384	50081
235	15431	49957
236	15472	49812
237	15520	49692
238	15569	49574
239	15620	49464
240	15675	49366
241	15726	49259
242	15771	49130
243	15826	49036
244	15886	48954
245	15938	48851
246	15987	48739
247	16043	48649
248	16096	48547
249	16149	48448
250	16198	48338
251	16248	48228
252	16297	48118
253	16354	48033
254	16409	47940
255	16468	47861
256	16523	47769
257	16565	47641
258	16612	47527
259	16655	47405
260	16706	47301
261	16759	47208
262	16805	47092
263	16850	46977
264	16894	46857
265	16941	46749
266	16988	46638
267	17032	46520
268	17079	46414
269	17119	46285
270	17162	46168
271	17209	46059
272	17258	45960
273	17308	45861
274	17359	45765
275	17417	45689
276	17467	45592
277	17518	45496
278	17567	45398
279	17617	45301
280	17666	45202
281	17710	45093
282	17762	45003
283	17804	44888
284	17849	44779
285	17891	44665
286	17936	44559
287	17985	44463
288	18032	44362
289	18077	44259
290	18126	44164
291	18179	44078
292	18228	43984
293	18274	43884
294	18316	43774
295	18360	43667
296	18400	43554
297	18449	43460
298	18489	43347
299	18534	43246
300	18582	43153
301	18624	43046
302	18669	42947
303	18715	42849
304	18761	42751
305	18811	42664
306	18865	42585
307	18917	42502
308	18971	42424
309	19020	42335
310	19070	42248
311	19112	42145
312	19151	42036
313	19194	41935
314	19237	41832
315	19280	41732
316	19330	41648
317	19371	41545
318	19415	41448
319	19458	41348
320	19501	41250
321	19548	41162
322	19585	41050
323	19627	40952
324	19670	40854
325	19717	40764
326	19759	40667
327	19802	40571
328	19845	40476
329	19889	40380
330	19935	40291
331	19979	40199
332	20022	40105
333	20065	40009
334	20110	39921
335	20152	39825
336	20195	39730
337	20235	39633
338	20277	39538
339	20317	39438
340	20360	39347
341	20402	39254
342	20445	39161
343	20489	39072
344	20527	38973
345	20567	38876
346	20611	38787
347	20654	38697
348	20695	38604
349	20737	38512
350	20782	38427
351	20826	38339
352	20871	38255
353	20916	38169
354	20959	38080
355	21004	37996
356	21048	37911
357	21093	37826
358	21138	37743
359	21186	37664
360	21227	37574
361	21267	37481
362	21309	37393
363	21351	37305
364	21393	37219
365	21434	37129
366	21473	37038
367	21515	36950
368	21558	36866
369	21605	36787
370	21650	36706
371	21689	36616
372	21731	36530
373	21770	36439
374	21818	36363
375	21860	36279
376	21902	36193
377	21943	36107
378	21981	36017
379	22020	35927
380	22065	35849
381	22120	35785
382	22166	35710
383	22227	35657
384	22278	35587
385	22321	35505
386	22372	35437
387	22413	35352
388	22470	35294
389	22526	35234
390	22578	35166
391	22627	35095
392	22676	35024
393	22750	34991
394	22811	34939
395	22858	34864
396	22903	34787
397	22943	34703
398	22982	34618
399	23026	34540
400	23065	34454
401	23117	34388
402	23166	34318
403	23209	34239
404	23249	34156
405	23286	34069
406	23329	33990
407	23370	33910
408	23416	33837
409	23461	33762
410	23505	33686
411	23546	33605
412	23581	33517
413	23617	33429
414	23651	33340
415	23689	33255
416	23728	33173
417	23767	33092
418	23820	33030
419	23870	32963
420	23923	32902
421	23981	32846
422	24027	32775
423	24085	32720
424	24123	32637
425	24170	32567
426	24210	32487
427	24248	32406
428	24287	32326
429	24333	32255
430	24379	32185
431	24420	32108
432	24459	32029
433	24509	31964
434	24558	31897
435	24600	31822
436	24646	31753
437	24688	31677
438	24730	31603
439	24775	31532
440	24819	31460
441	24864	31389
442	24909	31319
443	24952	31247
444	24996	31175
445	25039	31103
446	25077	31023
447	25120	30952
448	25170	30888
449	25208	30809
450	25251	30738
451	25292	30664
452	25334	30591
453	25377	30519
454	25419	30446
455	25461	30374
456	25504	30303
457	25549	30235
458	25592	30164
459	25637	30096
460	25684	30030
461	25728	29961
462	25770	29889
463	25818	29824
464	25866	29760
465	25903	29683
466	25943	29609
467	25981	29534
468	26016	29455
469	26057	29384
470	26093	29306
471	26132	29232
472	26181	29170
473	26228	29105
474	26272	29037
475	26314	28968
476	26363	28906
477	26416	28848
478	26467	28787
479	26518	28728
480	26565	28664
481	26613	28601
482	26657	28534
483	26708	28474
484	26749	28403
485	26792	28336
486	26832	28264
487	26873	28194
488	26914	28125
489	26955	28055
490	26991	27980
491	27029	27908
492	27067	27835
493	27109	27767
494	27157	27705
495	27217	27656
496	27268	27597
497	27324	27543
498	27376	27486
499	27424	27424
500	27487	27377
501	27583	27363
502	27663	27333
503	27819	27377
504	27906	27353
505	27988	27324
506	28035	27261
507	28092	27207
508	28139	27144
509	28190	27084
510	28237	27021
511	28283	26957
512	28331	26895
513	28382	26836
514	28433	26777
515	28481	26715
516	28527	26651
517	28573	26587
518	28615	26520
519	28659	26454
520	28711	26396
521	28758	26334
522	28803	26269
523	28848	26205
524	28898	26145
525	28953	26091
526	29002	26030
527	29049	25968
528	29099	25909
529	29148	25848
530	29190	25782
531	29240	25722
532	29298	25670
533	29338	25602
534	29377	25534
535	29416	25465
536	29456	25397
537	29504	25336
538	29546	25271
539	29599	25214
540	29645	25152
541	29685	25085
542	29726	25018
543	29772	24956
544	29825	24899
545	29870	24837
546	29912	24772
547	29954	24706
548	29992	24638
549	30045	24582
550	30088	24518
551	30134	24457
552	30184	24398
553	30230	24337
554	30276	24276
555	30322	24214
556	30369	24153
557	30409	24087
558	30452	24024
559	30494	23959
560	30540	23898
561	30596	23845
562	30638	23781
563	30684	23720
564	30725	23656
565	30766	23591
566	30813	23531
567	30859	23470
568	30903	23408
569	30948	23347
570	30990	23283
571	31035	23222
572	31079	23160
573	31125	23100
574	31177	23044
575	31219	22981
576	31261	22918
577	31315	22863
578	31358	22801
579	31402	22739
580	31447	22678
581	31489	22615
582	31536	22557
583	31585	22499
584	31638	22444
585	31687	22386
586	31740	22331
587	31792	22276
588	31857	22229
589	31910	22174
590	31968	22123
591	32015	22064
592	32074	22014
593	32126	21958
594	32177	21902
595	32233	21849
596	32290	21797
597	32337	21738
598	32392	21685
599	32438	21625
600	32487	21568
601	32536	21510
602	32584	21452
603	32632	21394
604	32680	21337
605	32721	21274
606	32760	21210
607	32809	21153
608	32848	21089
609	32889	21027
610	32931	20965
611	32969	20902
612	33009	20839
613	33051	20778
614	33095	20718
615	33134	20655
616	33174	20593
617	33217	20532
618	33258	20471
619	33307	20413
620	33348	20352
621	33392	20293
622	33437	20233
623	33485	20176
624	33536	20122
625	33589	20067
626	33636	20010
627	33677	19949
628	33724	19891
